Code,Industry Title,Number of Business Establishments
11,"Agriculture, Forestry, Fishing and Hunting","344,810"
21,Mining,"29,033"
22,Utilities,"35,661"
23,Construction,"1,381,624"
31,Manufacturing,"603,605"
32,Manufacturing,"603,605"
33,Manufacturing,"603,605"
42,Wholesale Trade,"669,008"
44,Retail Trade,"1,715,825"
45,Retail Trade,"1,715,825"
48,Transportation and Warehousing,"544,912"
49,Transportation and Warehousing,"544,912"
51,Information,"326,566"
52,Finance and Insurance,"723,572"
53,Real Estate Rental and Leasing,"799,569"
54,"Professional, Scientific, and Technical Services","2,083,645"
55,Management of Companies and Enterprises,"65,818"
56,Administrative and Support and Waste Management and Remediation Services,"1,786,052"
61,Educational Services,"370,782"
62,Health Care and Social Assistance,"1,569,612"
71,"Arts, Entertainment, and Recreation","333,106"
72,Accommodation and Food Services,"841,963"
81,Other Services (except Public Administration),"1,758,714"
92,Public Administration,"212,637"
